"pointer-events-auto href","mt-5 src","line-clamp-2","flex","flex 2","text-[13px]","line-clamp-1 2","line-clamp-1 3","line-clamp-1 4","line-clamp-1 5","line-clamp-1 6","cursor-pointer","text-xs 4","break-words","text-xl","text-[12px]","affirm-ala-price","flex 7","hidden","hidden 2","hidden 7"
"https://www.ibuypower.com/store/intel-gaming-pc-configurator-4","https://content.ibuypower.com/cdn-cgi/image/width=640,format=auto,quality=75/https://content.ibuypower.com/Images/Components/27549/gaming-pc-01-Y70-005-MainSolo-400-V1.png?v=3231427c77e890b9b9313b8e704e8abeac7f0c44","Intel Gaming PC Configurator 4",".react-stars-004647292635079281:before {
      position: absolute;
      overflow: hidden;
      display: block;
      z-index: 1;
      top: 0; left: 0;
      width: 50%;
      content: attr(data-forhalf);
      color: #FFD035;
  }","★","(16)","Intel® Core™ i9-14900K CPU","GeForce RTX 4070 Ti SUPER - 16GB","Asrock Z790-CX Wifi","32GB DDR5-6400MHz KINGSTON RGB RAM","2TB Team Group M.2 NVMe SSD","23990 points","Estimate Ship By 12/30/2024","Save $300","$2,399","$2,699","$116/mo","","","",""
"https://www.ibuypower.com/store/amd-gaming-pc-configurator-4","https://content.ibuypower.com/cdn-cgi/image/width=640,format=auto,quality=75/https://content.ibuypower.com/Images/Components/25119/gaming-pc-01-Y60-ProArt-001-hero-400-.png?v=3231427c77e890b9b9313b8e704e8abeac7f0c44","AMD Gaming PC Configurator 4",".react-stars-09358663530640385:before {
      position: absolute;
      overflow: hidden;
      display: block;
      z-index: 1;
      top: 0; left: 0;
      width: 50%;
      content: attr(data-forhalf);
      color: #FFD035;
  }","★","(7)","AMD Ryzen 9 9900X Processor","GeForce RTX 4070 Ti SUPER - 16GB","MSI PRO B650-P WIFI","32GB DDR5-6400MHz KINGSTON RGB RAM","2TB Team Group M.2 NVMe SSD","23990 points","Estimate Ship By 12/30/2024","Save $300","$2,399","$2,699","$116/mo","","","",""
"https://www.ibuypower.com/store/amd-ryzen-extreme-gaming-pc","https://content.ibuypower.com/cdn-cgi/image/width=640,format=auto,quality=75/https://content.ibuypower.com/Images/Components/28207/gaming-pc-01-Y70-Ti-B02-MainSolo-400-V1.png?v=3231427c77e890b9b9313b8e704e8abeac7f0c44","AMD Ryzen Extreme Gaming PC",".react-stars-04304685044373051:before {
      position: absolute;
      overflow: hidden;
      display: block;
      z-index: 1;
      top: 0; left: 0;
      width: 50%;
      content: attr(data-forhalf);
      color: #FFD035;
  }","★","(2)","AMD Ryzen™ 7 9800X3D CPU","GeForce RTX 4080 SUPER - 16GB","ASUS PRIME X870-P WIFI","32GB DDR5-6400MHz KINGSTON RGB RAM","2TB Team Group M.2 NVMe SSD","29490 points","Delivery By 01/29/2025","Save $250","$2,949","$3,199","$143/mo","★","","",""
"https://www.ibuypower.com/store/amd-gaming-pc-configurator-3","https://content.ibuypower.com/cdn-cgi/image/width=640,format=auto,quality=75/https://content.ibuypower.com/Images/Components/26643/gaming-pc-01-Y40-VCTA-R005-main-400-.png?v=3231427c77e890b9b9313b8e704e8abeac7f0c44","AMD Gaming PC Configurator 3",".react-stars-04152054693211651:before {
      position: absolute;
      overflow: hidden;
      display: block;
      z-index: 1;
      top: 0; left: 0;
      width: 50%;
      content: attr(data-forhalf);
      color: #FFD035;
  }","★","(1)","AMD Ryzen™ 7 9800X3D CPU","GeForce RTX 4070 SUPER - 12GB","MSI PRO B650-P WIFI","32GB DDR5-6400MHz KINGSTON RGB RAM","2TB Team Group M.2 NVMe SSD","21990 points","Delivery By 01/29/2025","Save $250","$2,199","$2,449","$107/mo","★","","",""
"https://www.ibuypower.com/store/amd-gaming-pc-configurator-1","https://content.ibuypower.com/cdn-cgi/image/width=640,format=auto,quality=75/https://content.ibuypower.com/Images/Components/27650/gaming-pc-01-Slate8Mesh-main-400-solo.png?v=3231427c77e890b9b9313b8e704e8abeac7f0c44","AMD Gaming PC Configurator 1","","","","AMD Ryzen™ 5 7600 CPU","GeForce RTX 4060 - 8GB","ASUS Prime B650M-A AX6 II","32GB DDR5-6400MHz KINGSTON RGB RAM","1TB Team Group M.2 NVMe SSD","12990 points","Estimate Ship By 12/30/2024","Save $150","$1,299","$1,449","$81/mo","",".react-stars-003777480769047492:before {
      position: absolute;
      overflow: hidden;
      display: block;
      z-index: 1;
      top: 0; left: 0;
      width: 50%;
      content: attr(data-forhalf);
      color: #FFD035;
  }","★","(0)"
"https://www.ibuypower.com/store/intel-gaming-pc-configurator-1","https://content.ibuypower.com/cdn-cgi/image/width=640,format=auto,quality=75/https://content.ibuypower.com/Images/Components/26942/gaming-pc-01-Slate6Mesh-main-400-solo.png?v=3231427c77e890b9b9313b8e704e8abeac7f0c44","Intel Gaming PC Configurator 1","","","","Intel® Core™ i5-14400F CPU","GeForce RTX 4060 - 8GB","Asrock Z790-CX Wifi","32GB DDR5-6400MHz KINGSTON RGB RAM","1TB Team Group M.2 NVMe SSD","12990 points","Estimate Ship By 12/30/2024","Save $150","$1,299","$1,449","$81/mo","",".react-stars-09065594132790491:before {
      position: absolute;
      overflow: hidden;
      display: block;
      z-index: 1;
      top: 0; left: 0;
      width: 50%;
      content: attr(data-forhalf);
      color: #FFD035;
  }","★","(0)"
"https://www.ibuypower.com/store/amd-gaming-pc-configurator-2","https://content.ibuypower.com/cdn-cgi/image/width=640,format=auto,quality=75/https://content.ibuypower.com/Images/Components/27211/gaming-pc-01-Trace7MP009-main-400.png?v=3231427c77e890b9b9313b8e704e8abeac7f0c44","AMD Gaming PC Configurator 2","","","","AMD Ryzen™ 7 7700X CPU","GeForce RTX 4070 SUPER - 12GB","ASUS Prime B650M-A AX6 II","32GB DDR5-6400MHz KINGSTON RGB RAM","1TB Team Group M.2 NVMe SSD","17490 points","Estimate Ship By 12/30/2024","Save $200","$1,749","$1,949","$85/mo","",".react-stars-07350961405625847:before {
      position: absolute;
      overflow: hidden;
      display: block;
      z-index: 1;
      top: 0; left: 0;
      width: 50%;
      content: attr(data-forhalf);
      color: #FFD035;
  }","★","(0)"
"https://www.ibuypower.com/store/intel-gaming-pc-configurator-3","https://content.ibuypower.com/cdn-cgi/image/width=640,format=auto,quality=75/https://content.ibuypower.com/Images/Components/25119/gaming-pc-01-Y60-ProArt-001-hero-400-.png?v=3231427c77e890b9b9313b8e704e8abeac7f0c44","Intel Gaming PC Configurator 3",".react-stars-027993799167083266:before {
      position: absolute;
      overflow: hidden;
      display: block;
      z-index: 1;
      top: 0; left: 0;
      width: 50%;
      content: attr(data-forhalf);
      color: #FFD035;
  }","★","(13)","Intel® Core™ i7-14700KF CPU","GeForce RTX 4070 SUPER - 12GB","Asrock Z790-CX Wifi","32GB DDR5-6400MHz KINGSTON RGB RAM","2TB Team Group M.2 NVMe SSD","20990 points","Estimate Ship By 12/30/2024","Save $250","$2,099","$2,349","$102/mo","","","",""
"https://www.ibuypower.com/store/intel-core-14th-gen-extreme-gaming-pc","https://content.ibuypower.com/cdn-cgi/image/width=640,format=auto,quality=75/https://content.ibuypower.com/Images/Components/28232/01-y70-Panda-400.png?v=3231427c77e890b9b9313b8e704e8abeac7f0c44","Intel Core 14th Gen Extreme Gaming PC","","","","Intel® Core™ i9-14900K CPU","GeForce RTX 4080 SUPER - 16GB","Asrock Z790-CX Wifi","32GB DDR5-6400MHz KINGSTON RGB RAM","2TB Team Group M.2 NVMe SSD","28990 points","Estimate Ship By 12/30/2024","Save $300","$2,899","$3,199","$141/mo","",".react-stars-05204493397487915:before {
      position: absolute;
      overflow: hidden;
      display: block;
      z-index: 1;
      top: 0; left: 0;
      width: 50%;
      content: attr(data-forhalf);
      color: #FFD035;
  }","★","(0)"
"https://www.ibuypower.com/store/intel-gaming-pc-configurator-2","https://content.ibuypower.com/cdn-cgi/image/width=640,format=auto,quality=75/https://content.ibuypower.com/Images/Components/27650/gaming-pc-01-Slate8Mesh-main-400-solo.png?v=3231427c77e890b9b9313b8e704e8abeac7f0c44","Intel Gaming PC Configurator 2",".react-stars-07185113976703643:before {
      position: absolute;
      overflow: hidden;
      display: block;
      z-index: 1;
      top: 0; left: 0;
      width: 50%;
      content: attr(data-forhalf);
      color: #FFD035;
  }","★","(6)","Intel® Core™ i7-14700KF CPU","GeForce RTX 4060 Ti - 8GB","Asrock Z790-CX Wifi","32GB DDR5-6400MHz KINGSTON RGB RAM","1TB Team Group M.2 NVMe SSD","17490 points","Estimate Ship By 12/30/2024","Save $200","$1,749","$1,949","$85/mo","★","","",""
"https://www.ibuypower.com/store/amd-ryzen-9-creator-plus-pc","https://content.ibuypower.com/cdn-cgi/image/width=640,format=auto,quality=75/https://content.ibuypower.com/Images/Components/28232/01-y70-Panda-400.png?v=3231427c77e890b9b9313b8e704e8abeac7f0c44","AMD Ryzen 9 Creator Plus PC","","","","AMD Ryzen™ 9 7950X3D CPU","GeForce RTX 4080 SUPER - 16GB","ASUS PRIME X870-P WIFI","64GB DDR5-6000MHz RAM","4TB WD Black SN850X M.2 NVMe SSD","33990 points","Estimate Ship By 12/30/2024","Save $200","$3,399","$3,599","$165/mo","",".react-stars-0658522677769031:before {
      position: absolute;
      overflow: hidden;
      display: block;
      z-index: 1;
      top: 0; left: 0;
      width: 50%;
      content: attr(data-forhalf);
      color: #FFD035;
  }","★","(0)"
"https://www.ibuypower.com/store/amd-ryzen-x3d-pro-gaming-pc","https://content.ibuypower.com/cdn-cgi/image/width=640,format=auto,quality=75/https://content.ibuypower.com/Images/Components/27549/gaming-pc-01-Y70-005-MainSolo-400-V1.png?v=3231427c77e890b9b9313b8e704e8abeac7f0c44","AMD Ryzen X3D Pro Gaming PC","","","","AMD Ryzen™ 7 9800X3D CPU","GeForce RTX 4070 Ti SUPER - 16GB","ASUS PRIME X870-P WIFI","32GB DDR5-6400MHz KINGSTON RGB RAM","2TB Team Group M.2 NVMe SSD","24990 points","Delivery By 01/29/2025","Save $200","$2,499","$2,699","$121/mo","",".react-stars-04651432523806034:before {
      position: absolute;
      overflow: hidden;
      display: block;
      z-index: 1;
      top: 0; left: 0;
      width: 50%;
      content: attr(data-forhalf);
      color: #FFD035;
  }","★","(0)"
"https://www.ibuypower.com/store/intel-core-14th-gen-creator-pc","https://content.ibuypower.com/cdn-cgi/image/width=640,format=auto,quality=75/https://content.ibuypower.com/Images/Components/28207/gaming-pc-01-Y70-Ti-B02-MainSolo-400-V1.png?v=3231427c77e890b9b9313b8e704e8abeac7f0c44","Intel Core 14th Gen Creator PC",".react-stars-0937558673098283:before {
      position: absolute;
      overflow: hidden;
      display: block;
      z-index: 1;
      top: 0; left: 0;
      width: 50%;
      content: attr(data-forhalf);
      color: #FFD035;
  }","★","(3)","Intel® Core™ i9-14900K CPU","GeForce RTX 4080 SUPER - 16GB","Asrock Z790-CX Wifi","32GB DDR5-6400MHz KINGSTON RGB RAM","4TB WD Black SN850X M.2 NVMe SSD","30490 points","Estimate Ship By 12/30/2024","Save $250","$3,049","$3,299","$148/mo","★","","",""
"https://www.ibuypower.com/store/intel-core-14th-gen-ultimate-gaming-pc","https://content.ibuypower.com/cdn-cgi/image/width=640,format=auto,quality=75/https://content.ibuypower.com/Images/Components/25119/gaming-pc-01-Y60-ProArt-001-hero-400-.png?v=3231427c77e890b9b9313b8e704e8abeac7f0c44","Intel Core 14th Gen Ultimate Gaming PC","","","","Intel® Core™ i9-14900K CPU","GeForce RTX 4080 SUPER - 16GB","Asrock Z790-CX Wifi","32GB DDR5-6400MHz KINGSTON RGB RAM","2TB Team Group M.2 NVMe SSD","26490 points","Estimate Ship By 12/30/2024","Save $250","$2,649","$2,899","$128/mo","",".react-stars-06005350494170969:before {
      position: absolute;
      overflow: hidden;
      display: block;
      z-index: 1;
      top: 0; left: 0;
      width: 50%;
      content: attr(data-forhalf);
      color: #FFD035;
  }","★","(0)"
"https://www.ibuypower.com/store/intel-core-ultra-extreme-gaming-pc","https://content.ibuypower.com/cdn-cgi/image/width=640,format=auto,quality=75/https://content.ibuypower.com/Images/Components/27549/gaming-pc-01-Y70-005-MainSolo-400-V1.png?v=3231427c77e890b9b9313b8e704e8abeac7f0c44","Intel Core Ultra Extreme Gaming PC","","","","Intel® Core™ Ultra 9 285K CPU","GeForce RTX 4080 SUPER - 16GB","Asus Z890 Max Gaming WIFI 7","32GB DDR5-6400MHz KINGSTON RGB RAM","2TB Team Group M.2 NVMe SSD","27490 points","Estimate Ship By 12/30/2024","Save $300","$2,749","$3,049","$133/mo","",".react-stars-02729913202884173:before {
      position: absolute;
      overflow: hidden;
      display: block;
      z-index: 1;
      top: 0; left: 0;
      width: 50%;
      content: attr(data-forhalf);
      color: #FFD035;
  }","★","(0)"